algo,imbalance,fold,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,repeat
RF,ROS,2,0.03877958728974407,0.40176991150442476,0.0423728813559322,118,5,0.0,0.0,0.0,0.023333333333333334,0.06741573033707865,0.6,0.03571428571428571,0.013333333333333334,0.09259259259259259,1.0,0.04854368932038835,0
RF,ROS,3,0.07674709357728225,0.5247787610619469,0.0423728813559322,118,5,0.2,0.2,0.4,0.24666666666666667,0.0,0.0,0.0,0.01,0.09009009009009009,1.0,0.04716981132075472,0
RF,ROS,4,0.04404445457077036,0.4309734513274336,0.0423728813559322,118,5,0.0,0.0,0.0,0.14333333333333334,0.0,0.0,0.0,0.02666666666666667,0.05333333333333334,0.4,0.02857142857142857,0
RF,ROS,5,0.15785185185185185,0.4701754385964913,0.04201680672268908,119,5,0.2,0.4,0.4,0.08333333333333333,0.19047619047619047,0.4,0.125,0.023333333333333334,0.047619047619047616,0.4,0.02531645569620253,1
RF,ROS,6,0.04651432425494338,0.4539823008849557,0.0423728813559322,118,5,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.03,0.06976744186046512,0.6,0.037037037037037035,1
RF,ROS,7,0.08695893212357406,0.6292035398230089,0.0423728813559322,118,5,0.2,0.2,0.4,0.02,0.1,1.0,0.05263157894736842,0.02,0.1,1.0,0.05263157894736842,1
RF,ROS,8,0.1281450766098789,0.7610619469026549,0.0423728813559322,118,5,0.2,0.2,0.2,0.05333333333333334,0.16,0.8,0.08888888888888889,0.016666666666666666,0.10638297872340426,1.0,0.056179775280898875,1
RF,ROS,9,0.04088156094465705,0.41150442477876104,0.0423728813559322,118,5,0.0,0.0,0.0,0.21666666666666667,0.0,0.0,0.0,0.02666666666666667,0.06593406593406594,0.6,0.03488372093023256,1
RF,ROS,10,0.04804761904761905,0.45789473684210524,0.04201680672268908,119,5,0.0,0.0,0.0,0.04666666666666667,0.03278688524590164,0.2,0.017857142857142856,0.01,0.09523809523809523,1.0,0.05,2
RF,ROS,11,0.155998445998446,0.5769911504424778,0.0423728813559322,118,5,0.2,0.2,0.4,0.0033333333333333335,0.08264462809917356,1.0,0.04310344827586207,0.016666666666666666,0.09615384615384616,1.0,0.050505050505050504,2
RF,ROS,12,0.06720459324062117,0.48141592920353987,0.0423728813559322,118,5,0.0,0.2,0.4,0.16666666666666666,0.13333333333333333,0.2,0.1,0.023333333333333334,0.06382978723404255,0.6,0.033707865168539325,2
RF,ROS,13,0.03978703843418152,0.41415929203539825,0.0423728813559322,118,5,0.0,0.0,0.0,0.12333333333333334,0.0,0.0,0.0,0.016666666666666666,0.06593406593406594,0.6,0.03488372093023256,2
RF,ROS,14,0.09703005328005329,0.6513274336283186,0.0423728813559322,118,5,0.0,0.2,0.6,0.26,0.0,0.0,0.0,0.01,0.09090909090909091,1.0,0.047619047619047616,2
RF,ROS,15,0.08262558356676003,0.5403508771929825,0.04201680672268908,119,5,0.0,0.4,0.4,0.08333333333333333,0.125,0.4,0.07407407407407407,0.016666666666666666,0.06382978723404255,0.6,0.033707865168539325,3
RF,ROS,16,0.04931614279440366,0.44955752212389377,0.0423728813559322,118,5,0.0,0.0,0.2,0.19,0.0,0.0,0.0,0.01,0.07017543859649122,0.8,0.03669724770642202,3
RF,ROS,17,0.05931118152639635,0.5424778761061947,0.0423728813559322,118,5,0.0,0.0,0.2,0.08333333333333333,0.06451612903225806,0.2,0.038461538461538464,0.04,0.10666666666666667,0.8,0.05714285714285714,3
RF,ROS,18,0.058391845538454,0.6044247787610619,0.0423728813559322,118,5,0.0,0.0,0.0,0.29333333333333333,0.0,0.0,0.0,0.01,0.08547008547008547,1.0,0.044642857142857144,3
RF,ROS,19,0.0960976364238533,0.6707964601769911,0.0423728813559322,118,5,0.0,0.4,0.4,0.03666666666666667,0.10810810810810811,0.8,0.057971014492753624,0.016666666666666666,0.0970873786407767,1.0,0.05102040816326531,3
RF,ROS,20,0.04602552675358286,0.4587719298245614,0.04201680672268908,119,5,0.0,0.0,0.0,0.20333333333333334,0.0,0.0,0.0,0.006666666666666667,0.08547008547008547,1.0,0.044642857142857144,4
RF,ROS,21,0.15975064242885695,0.6035398230088496,0.0423728813559322,118,5,0.2,0.2,0.4,0.0,0.08130081300813008,1.0,0.0423728813559322,0.01,0.09615384615384616,1.0,0.050505050505050504,4
RF,ROS,22,0.04999560289231972,0.5150442477876107,0.0423728813559322,118,5,0.0,0.0,0.0,0.01,0.07339449541284404,0.8,0.038461538461538464,0.013333333333333334,0.0761904761904762,0.8,0.04,4
RF,ROS,23,0.05294900866329438,0.5610619469026549,0.0423728813559322,118,5,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.013333333333333334,0.09523809523809523,1.0,0.05,4
RF,ROS,24,0.06520137673837864,0.5814159292035398,0.0423728813559322,118,5,0.0,0.0,0.4,0.03,0.07407407407407407,0.6,0.039473684210526314,0.016666666666666666,0.10204081632653061,1.0,0.053763440860215055,4
RF,ROS,25,0.058927377093760794,0.5771929824561405,0.04201680672268908,119,5,0.0,0.0,0.2,0.30333333333333334,0.0,0.0,0.0,0.013333333333333334,0.09523809523809523,1.0,0.05,5
RF,ROS,26,0.05381943009849986,0.5256637168141592,0.0423728813559322,118,5,0.0,0.0,0.2,0.10333333333333333,0.0625,0.2,0.037037037037037035,0.016666666666666666,0.08,0.8,0.042105263157894736,5
RF,ROS,27,0.08768075366885264,0.5327433628318584,0.0423728813559322,118,5,0.0,0.4,0.4,0.06,0.08333333333333333,0.4,0.046511627906976744,0.006666666666666667,0.08620689655172414,1.0,0.04504504504504504,5
RF,ROS,28,0.06276305481934646,0.4946902654867256,0.0423728813559322,118,5,0.0,0.2,0.2,0.16333333333333333,0.13333333333333333,0.2,0.1,0.02,0.08247422680412371,0.8,0.043478260869565216,5
RF,ROS,29,0.09163791763791763,0.5938053097345133,0.0423728813559322,118,5,0.0,0.2,0.6,0.05,0.12244897959183673,0.6,0.06818181818181818,0.013333333333333334,0.06451612903225806,0.6,0.03409090909090909,5
RF,ROS,30,0.06181128291113643,0.4482456140350877,0.04201680672268908,119,5,0.0,0.2,0.2,0.08333333333333333,0.06060606060606061,0.2,0.03571428571428571,0.023333333333333334,0.06976744186046512,0.6,0.037037037037037035,6
RF,ROS,31,0.06082482162937498,0.5743362831858407,0.0423728813559322,118,5,0.0,0.0,0.0,0.06666666666666667,0.11538461538461539,0.6,0.06382978723404255,0.006666666666666667,0.08620689655172414,1.0,0.04504504504504504,6
RF,ROS,32,0.0979014902764137,0.41150442477876104,0.0423728813559322,118,5,0.2,0.2,0.2,0.016666666666666666,0.08333333333333333,0.8,0.04395604395604396,0.02,0.0851063829787234,0.8,0.0449438202247191,6
RF,ROS,33,0.04691780343017744,0.3991150442477876,0.0423728813559322,118,5,0.0,0.0,0.2,0.20666666666666667,0.0,0.0,0.0,0.023333333333333334,0.047619047619047616,0.4,0.02531645569620253,6
RF,ROS,34,0.11522349191396573,0.6929203539823009,0.0423728813559322,118,5,0.2,0.2,0.4,0.016666666666666666,0.09433962264150944,1.0,0.04950495049504951,0.016666666666666666,0.09433962264150944,1.0,0.04950495049504951,6
