model,product,feature,importance_mean,importance_std,method
HGB|class_weight,RG3,Hopper_Temperature,0.43570928083020266,0.18403147254605662,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Mold_Temperature_4,0.3649430103477291,0.12131674383083013,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Barrel_Temperature_4,0.34157317952621186,0.11469329589789996,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Average_Back_Pressure,0.32025569585972385,0.11557134794257486,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Mold_Temperature_3,0.278911233766505,0.10532297763251389,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Max_Injection_Speed,0.20064346145542733,0.11871990681415782,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Barrel_Temperature_2,0.16532033471553415,0.10990640337374322,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Cycle_Time,0.15751624794008862,0.11035632768290479,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Barrel_Temperature_6,0.13956810269903883,0.17163865235151926,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Clamp_Close_Time,0.11047649990050319,0.08877179647529963,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Max_Switch_Over_Pressure,0.09512379454995988,0.1103842758609992,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Plasticizing_Position,0.09421748714500987,0.11536537864767324,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
