candidate,fold,inner_prauc,prauc,roc_auc,recall_at_20
HGB d=3 lr=.05 it=200 [S0],3,0.035641405209477485,0.24579373927200016,0.5132743362831859,0.4
HGB d=2 강한 규제 [S0],3,0.033941390666444374,0.09733908067241401,0.5752212389380531,0.2
SVM RBF [S0],3,0.05657502965941623,0.04379251726029887,0.3858407079646018,0.2
kNN k=15 [S0],3,0.03493622313522708,0.04423453962437013,0.45221238938053093,0.0
Naive Bayes [S0],3,0.03253086860145463,0.05508647480358262,0.4123893805309735,0.2
LogReg L2 C=0.1 [S2],3,0.03199452568231466,0.048305303676147666,0.4902654867256637,0.2
RF leaf=5 [S2],3,0.03103444315774049,0.06264645433064273,0.5610619469026549,0.4
HGB d=2 강한 규제 [S2],3,0.03146039576194494,0.08732254047322541,0.5893805309734513,0.4
LogReg L2 C=0.1 [S3],3,0.03708465215534838,0.03779094205163713,0.36283185840707965,0.0
RF leaf=5 [S3],3,0.03372979747078899,0.06430850076909725,0.5504424778761061,0.2
HGB d=2 강한 규제 [S3],3,0.03954408752965982,0.0708974358974359,0.6353982300884956,0.2
LogReg L2 C=0.01 [S0],4,0.048166056141260016,0.06335276178575147,0.46371681415929206,0.2
LogReg L2 C=0.1 [S0],4,0.046478060160493474,0.060639500686229655,0.5044247787610621,0.4
LogReg L2 C=1 [S0],4,0.041312883544669235,0.05833676427640343,0.5274336283185841,0.2
LogReg L1 C=0.05 [S0],4,0.05927183685945564,0.0707311855559834,0.5345132743362832,0.2
LogReg L1 C=0.3 [S0],4,0.04710943768451151,0.0627129597415731,0.49911504424778763,0.4
RF leaf=1 [S0],4,0.06885699829067503,0.03936861225929458,0.4026548672566372,0.0
RF leaf=5 [S0],4,0.054796904503189026,0.04550184249926713,0.44601769911504424,0.0
RF leaf=20 [S0],4,0.05986459444018406,0.03545555965724032,0.29911504424778756,0.0
RF 균형배깅 (subsample 30%) [S0],4,0.052222029108263374,0.0835092486798629,0.44424778761061945,0.4
ExtraTrees leaf=5 [S0],4,0.05074185122429878,0.05031261404935023,0.39646017699115044,0.2
HGB d=2 lr=.05 it=100 [S0],4,0.060615286631669846,0.03846637877407447,0.3769911504424779,0.0
HGB d=3 lr=.05 it=200 [S0],4,0.07323169594887471,0.04220089334870428,0.4336283185840708,0.0
HGB d=2 강한 규제 [S0],4,0.0593510385172381,0.03844112329162163,0.3769911504424779,0.0
SVM RBF [S0],4,0.038660650652708406,0.06695339954163484,0.4353982300884956,0.2
kNN k=15 [S0],4,0.04366376243663349,0.048809027639952894,0.49911504424778763,0.2
Naive Bayes [S0],4,0.05023525137173898,0.04549437551082003,0.3787610619469027,0.2
LogReg L2 C=0.1 [S2],4,0.04741658159875177,0.06392983875954528,0.4902654867256637,0.2
RF leaf=5 [S2],4,0.04965386331678564,0.038983411169434476,0.3787610619469026,0.0
HGB d=2 강한 규제 [S2],4,0.06302420505397557,0.034781093093843696,0.3008849557522124,0.0
LogReg L2 C=0.1 [S3],4,0.04394564223652636,0.06711706618423036,0.5628318584070797,0.2
RF leaf=5 [S3],4,0.04863762961740092,0.04154384908293264,0.40530973451327434,0.0
HGB d=2 강한 규제 [S3],4,0.04937542845852154,0.04065196148529482,0.4035398230088496,0.0
LogReg L2 C=0.01 [S0],5,0.05653614631015486,0.0619896517763622,0.5140350877192983,0.4
LogReg L2 C=0.1 [S0],5,0.056954381277938615,0.0721236146632566,0.5824561403508772,0.4
LogReg L2 C=1 [S0],5,0.049921363871728214,0.07716845358833188,0.6192982456140351,0.4
LogReg L1 C=0.05 [S0],5,0.04343757526613811,0.08605268944891586,0.5807017543859649,0.4
LogReg L1 C=0.3 [S0],5,0.05221452322293575,0.07270150888675779,0.5859649122807018,0.4
RF leaf=1 [S0],5,0.052229631168749534,0.32451851851851854,0.47807017543859653,0.4
RF leaf=5 [S0],5,0.04768016123869025,0.1184626235188033,0.5228070175438597,0.4
RF leaf=20 [S0],5,0.03908646093380632,0.25153402153402155,0.45438596491228067,0.4
RF 균형배깅 (subsample 30%) [S0],5,0.054105401735008954,0.0518857609321646,0.49122807017543857,0.2
ExtraTrees leaf=5 [S0],5,0.04362279093310892,0.0702849002849003,0.48596491228070177,0.4
HGB d=2 lr=.05 it=100 [S0],5,0.0475544381881068,0.11198457856352592,0.6649122807017543,0.4
HGB d=3 lr=.05 it=200 [S0],5,0.04770516327766008,0.11513708513708514,0.6421052631578947,0.4
HGB d=2 강한 규제 [S0],5,0.047838647191566955,0.09412684586029535,0.536842105263158,0.4
SVM RBF [S0],5,0.06110413810819007,0.03643994349876703,0.3087719298245615,0.0
kNN k=15 [S0],5,0.05409599944807979,0.05981038569273863,0.5789473684210527,0.2
Naive Bayes [S0],5,0.03996151719945089,0.05831666269746765,0.5491228070175439,0.2
LogReg L2 C=0.1 [S2],5,0.058635373920878864,0.06308080808080808,0.5912280701754387,0.2
RF leaf=5 [S2],5,0.039649644506151466,0.04597976989838998,0.4491228070175439,0.0
HGB d=2 강한 규제 [S2],5,0.04310774975841604,0.05357441437588246,0.5210526315789474,0.0
LogReg L2 C=0.1 [S3],5,0.05243390539401538,0.0774640987684466,0.6491228070175439,0.4
RF leaf=5 [S3],5,0.046714643860495064,0.047033647136689324,0.4228070175438597,0.0
HGB d=2 강한 규제 [S3],5,0.05506190972300871,0.06770880964429352,0.5192982456140351,0.2
LogReg L2 C=0.01 [S0],6,0.03812802101014332,0.04283541526611739,0.3415929203539823,0.2
LogReg L2 C=0.1 [S0],6,0.0474385590883572,0.03945571361102117,0.3185840707964602,0.2
LogReg L2 C=1 [S0],6,0.051638531939285984,0.03719440621293093,0.31327433628318585,0.2
LogReg L1 C=0.05 [S0],6,0.05494970793453296,0.046774963826431905,0.4070796460176991,0.2
LogReg L1 C=0.3 [S0],6,0.048767833962580054,0.040069279937795355,0.3185840707964602,0.2
RF leaf=1 [S0],6,0.06338854258380877,0.03516011925262019,0.33628318584070793,0.0
RF leaf=5 [S0],6,0.05724690853980083,0.03530734183397349,0.3185840707964602,0.0
RF leaf=20 [S0],6,0.051297731338389,0.030407816468277515,0.19469026548672566,0.0
RF 균형배깅 (subsample 30%) [S0],6,0.044517803451333667,0.040196227014109534,0.327433628318584,0.2
ExtraTrees leaf=5 [S0],6,0.05354417910681308,0.045332316232374686,0.4300884955752213,0.2
HGB d=2 lr=.05 it=100 [S0],6,0.059191053777085896,0.0408902993806613,0.3893805309734514,0.0
HGB d=3 lr=.05 it=200 [S0],6,0.06851423883453711,0.06073016593207156,0.5203539823008849,0.4
HGB d=2 강한 규제 [S0],6,0.05995608082759554,0.03545886051164824,0.30619469026548674,0.0
SVM RBF [S0],6,0.03125021344492748,0.10113880948879522,0.5415929203539823,0.4
kNN k=15 [S0],6,0.04462757617349681,0.060221879815100146,0.552212389380531,0.2
Naive Bayes [S0],6,0.043284922035511264,0.051228492896408934,0.4336283185840708,0.2
LogReg L2 C=0.1 [S2],6,0.04687498544439306,0.03643505518505519,0.2938053097345133,0.2
RF leaf=5 [S2],6,0.03702963155065292,0.03396243590674465,0.2920353982300885,0.0
HGB d=2 강한 규제 [S2],6,0.04557820487634415,0.03565057195588323,0.31681415929203544,0.0
LogReg L2 C=0.1 [S3],6,0.05118944737437238,0.04452427256165574,0.3398230088495575,0.2
RF leaf=5 [S3],6,0.041573727219757724,0.034101252767919435,0.2867256637168142,0.0
HGB d=2 강한 규제 [S3],6,0.05509694127019153,0.041191720148241885,0.3823008849557522,0.2
LogReg L2 C=0.01 [S0],7,0.04518227192326388,0.05822885076837839,0.463716814159292,0.2
LogReg L2 C=0.1 [S0],7,0.04932108896590777,0.055002061430632854,0.4902654867256638,0.2
LogReg L2 C=1 [S0],7,0.05099132388855256,0.05305261909861395,0.5061946902654867,0.2
LogReg L1 C=0.05 [S0],7,0.04288553303678891,0.10392980108821692,0.4725663716814159,0.2
LogReg L1 C=0.3 [S0],7,0.05101509070745338,0.05792419589873557,0.5008849557522124,0.2
RF leaf=1 [S0],7,0.04082182939366333,0.05040094995176665,0.48053097345132745,0.2
RF leaf=5 [S0],7,0.03569201768666391,0.04899675252810567,0.47433628318584076,0.2
RF leaf=20 [S0],7,0.03481595203125297,0.0457908326607733,0.45309734513274336,0.0
RF 균형배깅 (subsample 30%) [S0],7,0.035147857049213395,0.042166242383478214,0.4247787610619469,0.0
ExtraTrees leaf=5 [S0],7,0.03218621196450099,0.04466465806735084,0.46548672566371685,0.0
HGB d=2 lr=.05 it=100 [S0],7,0.03677837567389163,0.046661867769848986,0.46194690265486726,0.0
HGB d=3 lr=.05 it=200 [S0],7,0.05446793482392363,0.053615593267492,0.536283185840708,0.0
HGB d=2 강한 규제 [S0],7,0.03234871657196233,0.06777838385813603,0.5469026548672566,0.4
SVM RBF [S0],7,0.03732559848275341,0.048818556927948766,0.511504424778761,0.0
kNN k=15 [S0],7,0.045867574776415156,0.04447975517890772,0.4796460176991151,0.0
Naive Bayes [S0],7,0.03572864391837184,0.035885056158627235,0.33097345132743367,0.0
LogReg L2 C=0.1 [S2],7,0.03921179573526494,0.04790415356005302,0.4849557522123894,0.0
RF leaf=5 [S2],7,0.03834559480596508,0.03300425764711479,0.25309734513274335,0.0
HGB d=2 강한 규제 [S2],7,0.031907107251084664,0.03728151075977163,0.3380530973451328,0.0
LogReg L2 C=0.1 [S3],7,0.041000311466362335,0.05283028302830283,0.5309734513274336,0.0
RF leaf=5 [S3],7,0.04421480766378133,0.034176970443745805,0.2973451327433628,0.0
HGB d=2 강한 규제 [S3],7,0.043008151147884366,0.045752593898424405,0.3345132743362832,0.2
LogReg L2 C=0.01 [S0],8,0.03478481182966375,0.05804698590507974,0.561061946902655,0.2
LogReg L2 C=0.1 [S0],8,0.034303415962247105,0.06203582882428334,0.5823008849557523,0.4
LogReg L2 C=1 [S0],8,0.033509910258732636,0.061813576494427556,0.5982300884955752,0.2
LogReg L1 C=0.05 [S0],8,0.03467760926737507,0.0778762963483193,0.5902654867256637,0.4
LogReg L1 C=0.3 [S0],8,0.03357490595686928,0.062097641164805345,0.5805309734513274,0.2
RF leaf=1 [S0],8,0.03942548987153234,0.08614804948270419,0.679646017699115,0.2
RF leaf=5 [S0],8,0.03643663354874436,0.05613132991039967,0.5699115044247787,0.2
RF leaf=20 [S0],8,0.03298612933636107,0.05247178752146191,0.5221238938053097,0.0
RF 균형배깅 (subsample 30%) [S0],8,0.036133514682608364,0.07863217578407453,0.6212389380530974,0.4
ExtraTrees leaf=5 [S0],8,0.03986518698758179,0.07354053357787864,0.6831858407079646,0.0
HGB d=2 lr=.05 it=100 [S0],8,0.048188312999561826,0.05436254174118941,0.5221238938053098,0.2
HGB d=3 lr=.05 it=200 [S0],8,0.0465026715236924,0.06404985981853806,0.6035398230088496,0.2
HGB d=2 강한 규제 [S0],8,0.04096485314464324,0.06769907363694541,0.5911504424778761,0.2
SVM RBF [S0],8,0.054586293213915366,0.03572405055871429,0.3256637168141593,0.0
kNN k=15 [S0],8,0.039972923985017283,0.04335597147650065,0.4690265486725664,0.2
Naive Bayes [S0],8,0.03669270492442358,0.04398214083437492,0.44955752212389377,0.0
LogReg L2 C=0.1 [S2],8,0.034966013829531434,0.06229263651002781,0.5876106194690266,0.2
RF leaf=5 [S2],8,0.02987426249273925,0.05797877285133657,0.5964601769911504,0.0
HGB d=2 강한 규제 [S2],8,0.036005722697989975,0.054422836040483105,0.5309734513274337,0.2
LogReg L2 C=0.1 [S3],8,0.0325907944855068,0.06535865214837605,0.6194690265486725,0.2
RF leaf=5 [S3],8,0.031836948515303894,0.05113662534715166,0.5026548672566371,0.2
HGB d=2 강한 규제 [S3],8,0.04654772395635923,0.05782999580153694,0.5876106194690265,0.0
LogReg L2 C=0.01 [S0],9,0.0370792662179641,0.07308882973479247,0.608849557522124,0.4
LogReg L2 C=0.1 [S0],9,0.03525994131703141,0.06979867214287394,0.5929203539823009,0.4
LogReg L2 C=1 [S0],9,0.03517571800108931,0.0646996996996997,0.5716814159292035,0.2
LogReg L1 C=0.05 [S0],9,0.036396771426250835,0.09734848492997883,0.7504424778761062,0.4
LogReg L1 C=0.3 [S0],9,0.03416709273954713,0.07722323972323973,0.6000000000000001,0.2
RF leaf=1 [S0],9,0.06229147504709051,0.05595328282828283,0.5,0.2
RF leaf=5 [S0],9,0.05625277613751298,0.05151305683563748,0.5238938053097345,0.2
RF leaf=20 [S0],9,0.07094909110290892,0.05451063510522564,0.5451327433628319,0.2
RF 균형배깅 (subsample 30%) [S0],9,0.04673867912025827,0.06701774112943529,0.6300884955752213,0.4
ExtraTrees leaf=5 [S0],9,0.05000335644301575,0.039709583421102784,0.39646017699115044,0.0
