algo,imbalance,fold,n_train_normals,n_test_normals,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
Mahalanobis,normal_only,14,453,113,0.04379834517983186,0.36991150442477877,0.0423728813559322,118,5,0.0,0.0,0.2,0.702089141148358,0.0,0.0,0.0,0.19491525423728814,0.39117398516994256,0.06060606060606061,0.6,0.031914893617021274,0.7966101694915254
Mahalanobis,normal_only,15,452,114,0.03652446946564594,0.31754385964912285,0.04201680672268908,119,5,0.0,0.0,0.0,0.37575322716373827,0.056074766355140186,0.6,0.029411764705882353,0.8571428571428571,0.39697175662995116,0.05825242718446602,0.6,0.030612244897959183,0.8235294117647058
Mahalanobis,normal_only,16,453,113,0.04839219584347021,0.4353982300884956,0.0423728813559322,118,5,0.0,0.0,0.2,0.5621379900731684,0.04878048780487805,0.2,0.027777777777777776,0.3050847457627119,0.37833482825450804,0.07058823529411765,0.6,0.0375,0.6779661016949152
Mahalanobis,normal_only,17,453,113,0.05600004377469166,0.49557522123893805,0.0423728813559322,118,5,0.0,0.2,0.2,0.5954388683393533,0.038461538461538464,0.2,0.02127659574468085,0.3983050847457627,0.36104063264269637,0.0970873786407767,1.0,0.05102040816326531,0.8305084745762712
Mahalanobis,normal_only,18,453,113,0.09795608404363534,0.7539823008849558,0.0423728813559322,118,5,0.0,0.2,0.4,0.2857407003806453,0.08849557522123894,1.0,0.046296296296296294,0.9152542372881356,0.3581542911225942,0.10204081632653061,1.0,0.053763440860215055,0.788135593220339
Mahalanobis,normal_only,19,453,113,0.039352058383421734,0.3433628318584071,0.0423728813559322,118,5,0.0,0.0,0.0,0.7243785927522607,0.0,0.0,0.0,0.17796610169491525,0.3950819807371253,0.041237113402061855,0.4,0.021739130434782608,0.7796610169491526
Mahalanobis,normal_only,20,452,114,0.05033634701095491,0.4614035087719298,0.04201680672268908,119,5,0.0,0.0,0.2,0.6084230932772788,0.05714285714285714,0.2,0.03333333333333333,0.25210084033613445,0.3525463989898966,0.08080808080808081,0.8,0.0425531914893617,0.7899159663865546
Mahalanobis,normal_only,21,453,113,0.060045674798388585,0.5026548672566372,0.0423728813559322,118,5,0.0,0.2,0.2,0.6954334164381547,0.07692307692307693,0.2,0.047619047619047616,0.17796610169491525,0.37092244567983684,0.0851063829787234,0.8,0.0449438202247191,0.7542372881355932
Mahalanobis,normal_only,22,453,113,0.048569656363774014,0.45309734513274336,0.0423728813559322,118,5,0.0,0.0,0.2,0.6699607722760884,0.06060606060606061,0.2,0.03571428571428571,0.23728813559322035,0.3917246524696637,0.08,0.8,0.042105263157894736,0.8050847457627118
Mahalanobis,normal_only,23,453,113,0.0788232530138173,0.5345132743362832,0.0423728813559322,118,5,0.0,0.2,0.4,0.6060965355198904,0.07272727272727272,0.4,0.04,0.423728813559322,0.32464979585127834,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084
Mahalanobis,normal_only,24,453,113,0.042878980675590844,0.40884955752212393,0.0423728813559322,118,5,0.0,0.0,0.0,0.7004397475322132,0.06060606060606061,0.2,0.03571428571428571,0.23728813559322035,0.358086880041095,0.07920792079207921,0.8,0.041666666666666664,0.8135593220338984
Mahalanobis,normal_only,25,452,114,0.040461876362703604,0.3894736842105263,0.04201680672268908,119,5,0.0,0.0,0.0,0.7162427610824558,0.0,0.0,0.0,0.226890756302521,0.3632494319579795,0.07547169811320754,0.8,0.039603960396039604,0.8487394957983193
Mahalanobis,normal_only,26,453,113,0.03417836281289588,0.2867256637168142,0.0423728813559322,118,5,0.0,0.0,0.0,0.7405707301323691,0.0,0.0,0.0,0.1440677966101695,0.4103010147344301,0.061855670103092786,0.6,0.03260869565217391,0.7796610169491526
Mahalanobis,normal_only,27,453,113,0.04779319782202827,0.45663716814159294,0.0423728813559322,118,5,0.0,0.0,0.2,0.7221249726590101,0.07142857142857142,0.2,0.043478260869565216,0.19491525423728814,0.37282216294506704,0.07920792079207921,0.8,0.041666666666666664,0.8135593220338984
Mahalanobis,normal_only,28,453,113,0.1170570900148365,0.6778761061946903,0.0423728813559322,118,5,0.2,0.4,0.4,0.6308081329989842,0.1,0.4,0.05714285714285714,0.2966101694915254,0.3529526113793055,0.10101010101010101,1.0,0.05319148936170213,0.7966101694915254
Mahalanobis,normal_only,29,453,113,0.05315650451243672,0.45132743362831856,0.0423728813559322,118,5,0.0,0.0,0.2,0.3656110765949835,0.061224489795918366,0.6,0.03225806451612903,0.788135593220339,0.39109145604971673,0.06451612903225806,0.6,0.03409090909090909,0.7457627118644068
Mahalanobis,normal_only,30,452,114,0.057412517476675584,0.5017543859649123,0.04201680672268908,119,5,0.0,0.0,0.2,0.2446982259055389,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622,0.36073270233824173,0.08928571428571429,1.0,0.04672897196261682,0.8991596638655462
