feature,bin,rule,n_normal,fp,fp_rate,n_defect,fn,fn_rate
Max_Screw_RPM,= 0.68,Recall80,236,230,0.9745762711864406,12,0,0.0
Max_Screw_RPM,= 2.02,Recall80,43,42,0.9767441860465116,2,0,0.0
Average_Screw_RPM,= -1.96,F1max,49,18,0.3673469387755102,1,1,1.0
Average_Screw_RPM,= -0.42,F1max,330,150,0.45454545454545453,15,9,0.6
Average_Screw_RPM,= 1.12,F1max,172,82,0.47674418604651164,8,3,0.375
Average_Screw_RPM,= 2.66,F1max,15,3,0.2,1,1,1.0
Average_Screw_RPM,= -1.96,Recall80,49,45,0.9183673469387755,1,0,0.0
Average_Screw_RPM,= -0.42,Recall80,330,320,0.9696969696969697,15,0,0.0
Average_Screw_RPM,= 1.12,Recall80,172,164,0.9534883720930233,8,1,0.125
Average_Screw_RPM,= 2.66,Recall80,15,14,0.9333333333333333,1,0,0.0
Max_Injection_Pressure,"Q1 [-3.39, -0.77]",F1max,139,59,0.4244604316546763,9,5,0.5555555555555556
Max_Injection_Pressure,"Q2 [-0.77, -0.11]",F1max,145,64,0.4413793103448276,3,0,0.0
Max_Injection_Pressure,"Q3 [-0.11, 0.55]",F1max,141,65,0.46099290780141844,6,2,0.3333333333333333
Max_Injection_Pressure,"Q4 [0.55, 2.52]",F1max,141,65,0.46099290780141844,7,7,1.0
Max_Injection_Pressure,"Q1 [-3.39, -0.77]",Recall80,139,134,0.9640287769784173,9,0,0.0
Max_Injection_Pressure,"Q2 [-0.77, -0.11]",Recall80,145,140,0.9655172413793104,3,0,0.0
Max_Injection_Pressure,"Q3 [-0.11, 0.55]",Recall80,141,133,0.9432624113475178,6,0,0.0
Max_Injection_Pressure,"Q4 [0.55, 2.52]",Recall80,141,136,0.9645390070921985,7,1,0.14285714285714285
Max_Switch_Over_Pressure,"Q1 [-13.79, -0.34]",F1max,142,54,0.38028169014084506,6,4,0.6666666666666666
Max_Switch_Over_Pressure,"Q2 [-0.34, 0.08]",F1max,141,70,0.49645390070921985,7,2,0.2857142857142857
Max_Switch_Over_Pressure,"Q3 [0.08, 0.50]",F1max,143,63,0.4405594405594406,4,1,0.25
Max_Switch_Over_Pressure,"Q4 [0.50, 1.55]",F1max,140,66,0.4714285714285714,8,7,0.875
Max_Switch_Over_Pressure,"Q1 [-13.79, -0.34]",Recall80,142,137,0.9647887323943662,6,0,0.0
Max_Switch_Over_Pressure,"Q2 [-0.34, 0.08]",Recall80,141,136,0.9645390070921985,7,0,0.0
Max_Switch_Over_Pressure,"Q3 [0.08, 0.50]",Recall80,143,135,0.9440559440559441,4,0,0.0
Max_Switch_Over_Pressure,"Q4 [0.50, 1.55]",Recall80,140,135,0.9642857142857143,8,1,0.125
Max_Back_Pressure,"Q1 [-2.57, -0.71]",F1max,142,53,0.3732394366197183,6,4,0.6666666666666666
Max_Back_Pressure,"Q2 [-0.71, -0.09]",F1max,140,68,0.4857142857142857,8,2,0.25
Max_Back_Pressure,"Q3 [-0.09, 0.85]",F1max,142,66,0.4647887323943662,5,3,0.6
Max_Back_Pressure,"Q4 [0.85, 2.09]",F1max,142,66,0.4647887323943662,6,5,0.8333333333333334
Max_Back_Pressure,"Q1 [-2.57, -0.71]",Recall80,142,134,0.9436619718309859,6,0,0.0
Max_Back_Pressure,"Q2 [-0.71, -0.09]",Recall80,140,138,0.9857142857142858,8,0,0.0
Max_Back_Pressure,"Q3 [-0.09, 0.85]",Recall80,142,137,0.9647887323943662,5,0,0.0
Max_Back_Pressure,"Q4 [0.85, 2.09]",Recall80,142,134,0.9436619718309859,6,1,0.16666666666666666
Average_Back_Pressure,"Q1 [-2.47, -0.84]",F1max,143,53,0.3706293706293706,5,3,0.6
Average_Back_Pressure,"Q2 [-0.84, 0.09]",F1max,140,67,0.4785714285714286,8,3,0.375
Average_Back_Pressure,"Q3 [0.09, 0.79]",F1max,142,69,0.4859154929577465,5,2,0.4
Average_Back_Pressure,"Q4 [0.79, 2.18]",F1max,141,64,0.45390070921985815,7,6,0.8571428571428571
Average_Back_Pressure,"Q1 [-2.47, -0.84]",Recall80,143,135,0.9440559440559441,5,0,0.0
Average_Back_Pressure,"Q2 [-0.84, 0.09]",Recall80,140,139,0.9928571428571429,8,0,0.0
Average_Back_Pressure,"Q3 [0.09, 0.79]",Recall80,142,134,0.9436619718309859,5,0,0.0
Average_Back_Pressure,"Q4 [0.79, 2.18]",Recall80,141,135,0.9574468085106383,7,1,0.14285714285714285
Barrel_Temperature_1,"Q1 [-3.17, -0.60]",F1max,141,54,0.3829787234042553,7,3,0.42857142857142855
Barrel_Temperature_1,"Q2 [-0.60, 0.10]",F1max,142,71,0.5,6,3,0.5
Barrel_Temperature_1,"Q3 [0.10, 0.56]",F1max,142,74,0.5211267605633803,5,4,0.8
Barrel_Temperature_1,"Q4 [0.56, 2.66]",F1max,141,54,0.3829787234042553,7,4,0.5714285714285714
Barrel_Temperature_1,"Q1 [-3.17, -0.60]",Recall80,141,135,0.9574468085106383,7,0,0.0
Barrel_Temperature_1,"Q2 [-0.60, 0.10]",Recall80,142,136,0.9577464788732394,6,0,0.0
Barrel_Temperature_1,"Q3 [0.10, 0.56]",Recall80,142,139,0.9788732394366197,5,0,0.0
Barrel_Temperature_1,"Q4 [0.56, 2.66]",Recall80,141,133,0.9432624113475178,7,1,0.14285714285714285
Barrel_Temperature_2,"Q1 [-2.19, -0.74]",F1max,142,57,0.4014084507042254,6,5,0.8333333333333334
Barrel_Temperature_2,"Q2 [-0.74, -0.01]",F1max,142,63,0.44366197183098594,6,2,0.3333333333333333
Barrel_Temperature_2,"Q3 [-0.01, 0.72]",F1max,139,71,0.5107913669064749,8,4,0.5
Barrel_Temperature_2,"Q4 [0.72, 3.14]",F1max,143,62,0.43356643356643354,5,3,0.6
Barrel_Temperature_2,"Q1 [-2.19, -0.74]",Recall80,142,136,0.9577464788732394,6,0,0.0
Barrel_Temperature_2,"Q2 [-0.74, -0.01]",Recall80,142,133,0.9366197183098591,6,0,0.0
Barrel_Temperature_2,"Q3 [-0.01, 0.72]",Recall80,139,135,0.9712230215827338,8,1,0.125
Barrel_Temperature_2,"Q4 [0.72, 3.14]",Recall80,143,139,0.972027972027972,5,0,0.0
Barrel_Temperature_3,"Q1 [-2.46, -0.62]",F1max,142,44,0.30985915492957744,6,3,0.5
Barrel_Temperature_3,"Q2 [-0.62, -0.00]",F1max,137,70,0.5109489051094891,11,4,0.36363636363636365
Barrel_Temperature_3,"Q3 [-0.00, 0.31]",F1max,144,91,0.6319444444444444,3,3,1.0
Barrel_Temperature_3,"Q4 [0.31, 2.46]",F1max,143,48,0.3356643356643357,5,4,0.8
Barrel_Temperature_3,"Q1 [-2.46, -0.62]",Recall80,142,136,0.9577464788732394,6,0,0.0
