set,model_name,algo,imbalance,fold,n_features_used,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
S0 원본,RF,RF,class_weight|feat=S0,16,21,0.04120736008545625,0.4185840707964602,0.0423728813559322,118,5,0.0,0.0,0.0,0.08,0.03076923076923077,0.2,0.016666666666666666,0.5084745762711864,0.03333333333333333,0.0784313725490196,0.8,0.041237113402061855,0.8220338983050848
S0 원본,RF,RF,class_weight|feat=S0,17,21,0.05115715654967464,0.4690265486725664,0.0423728813559322,118,5,0.0,0.0,0.2,0.11,0.10256410256410256,0.4,0.058823529411764705,0.288135593220339,0.05333333333333334,0.09523809523809523,0.8,0.05063291139240506,0.6694915254237288
S0 원본,RF,RF,class_weight|feat=S0,18,21,0.042234971601168785,0.43805309734513276,0.0423728813559322,118,5,0.0,0.0,0.0,0.25333333333333335,0.0,0.0,0.0,0.05084745762711865,0.016666666666666666,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084
S0 원본,RF,RF,class_weight|feat=S0,19,21,0.11233483223797995,0.6734513274336283,0.0423728813559322,118,5,0.2,0.2,0.4,0.02666666666666667,0.08928571428571429,1.0,0.04672897196261682,0.9067796610169492,0.03333333333333333,0.09433962264150944,1.0,0.04950495049504951,0.8559322033898306
S0 원본,RF,RF,class_weight|feat=S0,20,21,0.0498131546754339,0.4815789473684211,0.04201680672268908,119,5,0.0,0.0,0.2,0.13333333333333333,0.06896551724137931,0.2,0.041666666666666664,0.20168067226890757,0.02666666666666667,0.09345794392523364,1.0,0.049019607843137254,0.8571428571428571
S0 원본,RF,RF,class_weight|feat=S0,21,21,0.08556842249094761,0.5787610619469026,0.0423728813559322,118,5,0.2,0.2,0.2,0.18,0.09090909090909091,0.2,0.058823529411764705,0.1440677966101695,0.02666666666666667,0.09900990099009901,1.0,0.052083333333333336,0.8135593220338984
S0 원본,RF,RF,class_weight|feat=S0,22,21,0.04628949837069221,0.4884955752212389,0.0423728813559322,118,5,0.0,0.0,0.0,0.016666666666666666,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084,0.03,0.08080808080808081,0.8,0.0425531914893617,0.7966101694915254
S0 원본,RF,RF,class_weight|feat=S0,23,21,0.04645562770562771,0.4964601769911504,0.0423728813559322,118,5,0.0,0.0,0.0,0.15666666666666668,0.0,0.0,0.0,0.17796610169491525,0.02666666666666667,0.09615384615384616,1.0,0.050505050505050504,0.8389830508474576
S0 원본,RF,RF,class_weight|feat=S0,24,21,0.06131104680678241,0.5814159292035398,0.0423728813559322,118,5,0.0,0.0,0.2,0.06666666666666667,0.10526315789473684,0.8,0.056338028169014086,0.6016949152542372,0.04,0.0970873786407767,1.0,0.05102040816326531,0.8305084745762712
S0 원본,RF,RF,class_weight|feat=S0,25,21,0.06259864806291895,0.5964912280701755,0.04201680672268908,119,5,0.0,0.0,0.4,0.006666666666666667,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622,0.016666666666666666,0.0847457627118644,1.0,0.04424778761061947,0.9495798319327731
S0 원본,RF,RF,class_weight|feat=S0,26,21,0.048051886169643926,0.44247787610619466,0.0423728813559322,118,5,0.0,0.0,0.2,0.13666666666666666,0.058823529411764705,0.2,0.034482758620689655,0.2457627118644068,0.02666666666666667,0.07766990291262135,0.8,0.04081632653061224,0.8305084745762712
S0 원본,RF,RF,class_weight|feat=S0,27,21,0.0528275068966158,0.5079646017699115,0.0423728813559322,118,5,0.0,0.0,0.2,0.0033333333333333335,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.023333333333333334,0.07692307692307693,0.8,0.04040404040404041,0.8389830508474576
S0 원본,RF,RF,class_weight|feat=S0,28,21,0.07268203964674086,0.41061946902654867,0.0423728813559322,118,5,0.2,0.2,0.2,0.21,0.10526315789473684,0.2,0.07142857142857142,0.11864406779661017,0.03666666666666667,0.06060606060606061,0.6,0.031914893617021274,0.7966101694915254
S0 원본,RF,RF,class_weight|feat=S0,29,21,0.08472305472305472,0.5557522123893806,0.0423728813559322,118,5,0.0,0.2,0.4,0.11,0.17142857142857143,0.6,0.1,0.2542372881355932,0.02,0.07272727272727272,0.8,0.0380952380952381,0.8898305084745762
S0 원본,RF,RF,class_weight|feat=S0,30,21,0.05857267258317815,0.4789473684210526,0.04201680672268908,119,5,0.0,0.2,0.2,0.10666666666666667,0.05555555555555555,0.2,0.03225806451612903,0.2605042016806723,0.04666666666666667,0.07228915662650602,0.6,0.038461538461538464,0.6554621848739496
S0 원본,RF,RF,class_weight|feat=S0,31,21,0.04390098905830997,0.4557522123893806,0.0423728813559322,118,5,0.0,0.0,0.0,0.09333333333333334,0.0,0.0,0.0,0.4322033898305085,0.03333333333333333,0.10309278350515463,1.0,0.05434782608695652,0.7796610169491526
S0 원본,RF,RF,class_weight|feat=S0,32,21,0.07968557556579337,0.3752212389380531,0.0423728813559322,118,5,0.2,0.2,0.2,0.02,0.07339449541284404,0.8,0.038461538461538464,0.8813559322033898,0.023333333333333334,0.0761904761904762,0.8,0.04,0.847457627118644
S0 원본,RF,RF,class_weight|feat=S0,33,21,0.04959982071374476,0.4168141592920354,0.0423728813559322,118,5,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0423728813559322,0.03333333333333333,0.08080808080808081,0.8,0.0425531914893617,0.7966101694915254
S0 원본,RF,RF,class_weight|feat=S0,34,21,0.09664605105315313,0.6778761061946903,0.0423728813559322,118,5,0.2,0.2,0.4,0.01,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272,0.02666666666666667,0.09523809523809523,1.0,0.05,0.847457627118644
S0 원본,RF,RF,class_weight|feat=S0,35,21,0.12072621697809104,0.613157894736842,0.04201680672268908,119,5,0.2,0.4,0.4,0.2866666666666667,0.2222222222222222,0.2,0.25,0.03361344537815126,0.03333333333333333,0.07920792079207921,0.8,0.041666666666666664,0.8067226890756303
S0 원본,RF,RF,class_weight|feat=S0,36,21,0.036065268065268066,0.3424778761061947,0.0423728813559322,118,5,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.01694915254237288,0.013333333333333334,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084
S0 원본,RF,RF,class_weight|feat=S0,37,21,0.050506712060664066,0.48938053097345136,0.0423728813559322,118,5,0.0,0.0,0.2,0.07,0.09375,0.6,0.05084745762711865,0.5,0.02666666666666667,0.08,0.8,0.042105263157894736,0.8050847457627118
S0 원본,RF,RF,class_weight|feat=S0,38,21,0.10227632896205363,0.4707964601769911,0.0423728813559322,118,5,0.2,0.2,0.2,0.013333333333333334,0.08403361344537816,1.0,0.043859649122807015,0.9661016949152542,0.03,0.07547169811320754,0.8,0.039603960396039604,0.8559322033898306
S0 원본,RF,RF,class_weight|feat=S0,39,21,0.06030966805237204,0.5867256637168141,0.0423728813559322,118,5,0.0,0.0,0.2,0.013333333333333334,0.08620689655172414,1.0,0.04504504504504504,0.940677966101695,0.03,0.10526315789473684,1.0,0.05555555555555555,0.7627118644067796
S0 원본,RF,RF,class_weight|feat=S0,40,21,0.11294306452201189,0.6114035087719298,0.04201680672268908,119,5,0.2,0.2,0.2,0.08666666666666667,0.06451612903225806,0.4,0.03508771929824561,0.4789915966386555,0.02666666666666667,0.08547008547008547,1.0,0.044642857142857144,0.9411764705882353
