algo,imbalance,fold,selected,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
NestedSearch(best-of-candidates),class_weight,36,RF 균형배깅 (subsample 30%) [S0],0.03627030657956774,0.32389380530973455,0.0423728813559322,118,5,0.0,0.0,0.0,0.1861413913040062,0.0,0.0,0.0,0.05084745762711865,0.041227337579890506,0.05714285714285714,0.6,0.03,0.847457627118644
NestedSearch(best-of-candidates),class_weight,37,HGB d=3 lr=.05 it=200 [S0],0.052154389272899414,0.2991150442477876,0.0423728813559322,118,5,0.0,0.2,0.2,0.03364943081044878,0.05263157894736842,0.4,0.028169014084507043,0.6016949152542372,0.007140136466076267,0.056074766355140186,0.6,0.029411764705882353,0.864406779661017
NestedSearch(best-of-candidates),class_weight,38,HGB d=3 lr=.05 it=200 [S0],0.29971988795518206,0.7221238938053097,0.0423728813559322,118,5,0.4,0.4,0.6,0.8602722731861595,0.0,0.0,0.0,0.0,0.0024325472515400446,0.09009009009009009,1.0,0.04716981132075472,0.8983050847457628
NestedSearch(best-of-candidates),class_weight,39,ExtraTrees leaf=5 [S0],0.07196749404858832,0.6212389380530974,0.0423728813559322,118,5,0.0,0.0,0.4,0.19221287061081674,0.08823529411764706,0.6,0.047619047619047616,0.5338983050847458,0.15536942689765723,0.09302325581395349,0.8,0.04938271604938271,0.6864406779661016
NestedSearch(best-of-candidates),class_weight,40,HGB d=3 lr=.05 it=200 [S0],0.1626305038069744,0.6456140350877193,0.04201680672268908,119,5,0.2,0.2,0.2,0.4196852107420827,0.125,0.2,0.09090909090909091,0.09243697478991597,0.0022670752406382063,0.06666666666666667,0.8,0.034782608695652174,0.9663865546218487
NestedSearch(best-of-candidates),class_weight,41,LogReg L1 C=0.05 [S0],0.03436986554835756,0.29115044247787614,0.0423728813559322,118,5,0.0,0.0,0.0,0.5728719623741761,0.0,0.0,0.0,0.1694915254237288,0.4855738312893679,0.0,0.0,0.0,0.4745762711864407
NestedSearch(best-of-candidates),class_weight,42,kNN k=15 [S0],0.04467231615313685,0.47256637168141596,0.0423728813559322,118,5,0.0,0.0,0.0,0.14243463737256398,0.0,0.0,0.0,0.03389830508474576,0.0,0.08130081300813008,1.0,0.0423728813559322,1.0
NestedSearch(best-of-candidates),class_weight,43,LogReg L1 C=0.3 [S0],0.037823307673385924,0.36106194690265486,0.0423728813559322,118,5,0.0,0.0,0.0,0.7762612552198572,0.0,0.0,0.0,0.07627118644067797,0.17304345950625225,0.06956521739130435,0.8,0.03636363636363636,0.9322033898305084
NestedSearch(best-of-candidates),class_weight,44,HGB d=3 lr=.05 it=200 [S0],0.07289162112932605,0.5061946902654868,0.0423728813559322,118,5,0.0,0.2,0.4,0.017410864505847015,0.08,0.6,0.04285714285714286,0.5932203389830508,0.007688502301392987,0.08247422680412371,0.8,0.043478260869565216,0.7796610169491526
NestedSearch(best-of-candidates),class_weight,45,HGB d=3 lr=.05 it=200 [S0],0.051924027984189394,0.5350877192982456,0.04201680672268908,119,5,0.0,0.0,0.0,0.396203712343527,0.0,0.0,0.0,0.06722689075630252,0.00246877458162055,0.08196721311475409,1.0,0.042735042735042736,0.9831932773109243
NestedSearch(best-of-candidates),class_weight,46,SVM RBF [S0],0.041697136484370526,0.4,0.0423728813559322,118,5,0.0,0.0,0.2,0.05329787185832409,0.0,0.0,0.0,0.0,0.03601470409307645,0.08130081300813008,1.0,0.0423728813559322,1.0
NestedSearch(best-of-candidates),class_weight,47,LogReg L2 C=0.1 [S3],0.03891190155589196,0.3292035398230089,0.0423728813559322,118,5,0.0,0.0,0.2,0.7603507338932424,0.0,0.0,0.0,0.07627118644067797,0.1728378256155081,0.045454545454545456,0.4,0.024096385542168676,0.7033898305084746
NestedSearch(best-of-candidates),class_weight,48,HGB d=3 lr=.05 it=200 [S0],0.04262327146537673,0.4247787610619469,0.0423728813559322,118,5,0.0,0.0,0.0,0.14497604034054032,0.05714285714285714,0.2,0.03333333333333333,0.2542372881355932,0.0054627840639015325,0.08421052631578947,0.8,0.044444444444444446,0.7627118644067796
NestedSearch(best-of-candidates),class_weight,49,HGB d=3 lr=.05 it=200 [S0],0.056752598752598755,0.4460176991150443,0.0423728813559322,118,5,0.0,0.2,0.2,0.5109260400253303,0.0,0.0,0.0,0.0423728813559322,0.004681162702873205,0.06,0.6,0.031578947368421054,0.8050847457627118
