n_defects,mde_alpha05,mde_bonferroni
323,0.15928984914780145,0.22214071344947503
324,0.15904384151196377,0.2217976387838176
325,0.15879897017118097,0.22145614876021702
326,0.15855522640483433,0.22111623121716717
327,0.15831260158571664,0.2207778741234308
328,0.15807108717874968,0.22044106557625096
329,0.15783067473972315,0.22010579379959222
330,0.1575913559140546,0.21977204714241153
331,0.15735312243557004,0.21943981407695728
332,0.15711596612530468,0.2191090831970975
333,0.1568798788903235,0.2187798432166743
334,0.1566448527225615,0.2184520829678872
335,0.15641087969768253,0.2181257913997012
336,0.15617795197395723,0.2178009575762823
337,0.1559460617911592,0.21747757067545792
338,0.15571520146947893,0.21715561998720254
339,0.15548536340845565,0.21683509491214784
340,0.1552565400859264,0.21651598496011717
341,0.1550287240569919,0.2161982797486835
342,0.15480190795299914,0.21588196900175055
343,0.15457608448054055,0.21556704254815687
344,0.15435124642046874,0.21525349032030205
345,0.15412738662692724,0.214941302352795
346,0.15390449802639675,0.21463046878112366
347,0.15368257361675614,0.21432097984034582
348,0.15346160646635879,0.21401282586380066
349,0.1532415897131229,0.2137059972818406
350,0.15302251656363683,0.21340048462058306
351,0.1528043802922778,0.21309627850068183
352,0.1525871742403448,0.21279336963611778
353,0.1523708918152048,0.21249174883300806
354,0.1521555264894523,0.21219140698843425
355,0.15194107180008204,0.21189233508928831
356,0.15172752134767417,0.21159452421113678
357,0.15151486879559245,0.21129796551710187
358,0.15130310786919426,0.21100265025676052
359,0.15109223235505312,0.2107085697650597
360,0.150882236100193,0.21041571546124863
361,0.15067311301133407,0.2101240788478272
362,0.15046485705415039,0.20983365150951033
363,0.1502574622525382,0.20954442511220808
364,0.15005092268789602,0.20925639140202112
365,0.149845232498415,0.20896954220425165
366,0.14964038587838024,0.20868386942242853
367,0.1494363770774825,0.2083993650373478
368,0.14923320040014024,0.208116021106127
369,0.14903085020483178,0.20783382976127396
370,0.1488293209034373,0.20755278320976894
371,0.14862860696059074,0.20727287373216108
372,0.1484287028930412,0.20699409368167776
373,0.1482296032690237,0.20671643548334692
374,0.1480313027076395,0.20643989163313306
375,0.14783379587824497,0.20616445469708491
376,0.1476370774998501,0.20589011731049656
377,0.1474411423405251,0.20561687217708
378,0.14724598521681614,0.20534471206815033
379,0.14705160099316938,0.20507362982182248
380,0.14685798458136332,0.20480361834221952
381,0.14666513093994935,0.20453467059869274
382,0.14647303507370057,0.20426677962505255
383,0.14628169203306812,0.20399993851881076
384,0.14609109691364575,0.20373414044043361
385,0.1459012448556417,0.2034693786126053
386,0.14571213104335834,0.20320564631950233
387,0.14552375070467902,0.20294293690607793
388,0.14533609911056233,0.20268124377735677
389,0.14514917157454357,0.2024205603977396
390,0.14496296345224305,0.20216088029031765
391,0.1447774701408814,0.20190219703619675
392,0.14459268707880185,0.20164450427383093
393,0.14440860974499894,0.20138779569836537
394,0.144225233658654,0.20113206506098846
395,0.144042554378677,0.20087730616829297
396,0.1438605675032548,0.20062351288164595
397,0.14367926866940567,0.20037067911656758
398,0.14349865355254002,0.20011879884211853
399,0.14331871786602698,0.19986786608029555
400,0.14313945736076739,0.19961787490543584
